                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4465,                0.87516,                 1.1995,                0.89959,                 0.9375,                0.94544,                0.45241,                 1.6671,                0.93285,                 1.3662,               0.006733,               0.006733,               0.006733
                     35,                 1.4719,                0.89459,                 1.2046,                0.81811,                0.95312,                0.89144,                0.40502,                 1.7381,                 1.0693,                 1.4308,               0.006634,               0.006634,               0.006634
                     36,                 1.4784,                0.88574,                 1.2285,                0.91135,                0.96387,                0.94007,                0.49154,                 1.6229,                0.89433,                 1.3284,               0.006535,               0.006535,               0.006535
                     37,                 1.4935,                0.91131,                 1.2221,                0.91708,                0.96875,                0.94079,                0.45768,                 1.7234,                  0.834,                  1.393,               0.006436,               0.006436,               0.006436
                     38,                 1.4541,                0.85053,                 1.2017,                 0.9799,                0.98438,                0.97939,                0.49277,                 1.6713,                 0.7813,                 1.3677,               0.006337,               0.006337,               0.006337
                     39,                 1.4288,                0.84538,                  1.197,                0.98437,                  0.984,                0.98053,                0.48571,                 1.6855,                0.80802,                 1.3855,               0.006238,               0.006238,               0.006238
                     40,                 1.3853,                0.83049,                 1.1717,                0.93524,                0.98438,                0.97094,                0.48203,                 1.6985,                0.81982,                 1.3682,               0.006139,               0.006139,               0.006139
                     41,                 1.4552,                0.83074,                 1.1919,                0.98358,                0.93614,                0.97917,                0.48917,                 1.7198,                 0.8063,                 1.3776,                0.00604,                0.00604,                0.00604
                     42,                 1.3846,                0.80538,                 1.1622,                0.96872,                0.96769,                0.98539,                0.49299,                 1.6938,                0.81114,                 1.3638,               0.005941,               0.005941,               0.005941
                     43,                 1.3466,                0.79699,                 1.1635,                0.95377,                0.96715,                0.98655,                0.48692,                 1.7055,                0.81707,                 1.3595,               0.005842,               0.005842,               0.005842
                     44,                 1.3974,                0.81301,                 1.1692,                0.97913,                0.96875,                0.98909,                0.50943,                 1.6478,                0.76982,                 1.3472,               0.005743,               0.005743,               0.005743
                     45,                 1.4153,                0.83769,                 1.1781,                0.96818,                0.95081,                0.97193,                0.50691,                 1.6832,                0.79815,                 1.3563,               0.005644,               0.005644,               0.005644
                     46,                 1.3384,                0.78137,                 1.1354,                0.97688,                0.96875,                0.98617,                0.52094,                 1.6377,                0.78762,                  1.343,               0.005545,               0.005545,               0.005545
                     47,                   1.36,                0.80578,                 1.1843,                0.96851,                0.96107,                0.97409,                0.49489,                 1.6739,                0.79567,                 1.3567,               0.005446,               0.005446,               0.005446
                     48,                 1.3563,                0.77232,                 1.1708,                0.92721,                0.99524,                0.98596,                0.51867,                 1.6311,                0.78296,                 1.3423,               0.005347,               0.005347,               0.005347
                     49,                 1.3503,                0.79776,                  1.159,                0.92256,                0.95312,                0.96828,                0.48755,                 1.7202,                0.80255,                 1.3862,               0.005248,               0.005248,               0.005248
                     50,                 1.4067,                0.80666,                 1.1577,                0.96783,                0.94019,                0.97164,                0.49612,                 1.7008,                0.78781,                 1.3824,               0.005149,               0.005149,               0.005149
                     51,                 1.3571,                0.77195,                 1.1423,                0.94141,                0.96875,                0.98314,                0.49499,                 1.7058,                0.78981,                  1.366,                0.00505,                0.00505,                0.00505
                     52,                 1.3407,                0.76885,                 1.1717,                0.96898,                0.97617,                 0.9883,                0.50068,                 1.6892,                0.75884,                 1.3608,               0.004951,               0.004951,               0.004951
                     53,                 1.2869,                0.76116,                 1.1348,                0.96961,                0.99718,                0.98423,                0.50394,                 1.6589,                0.77258,                 1.3341,               0.004852,               0.004852,               0.004852
                     54,                 1.2566,                0.73569,                 1.1356,                0.97661,                0.95312,                0.98581,                0.50957,                 1.6258,                0.74338,                 1.3185,               0.004753,               0.004753,               0.004753
                     55,                 1.3058,                0.76078,                 1.1267,                0.97712,                 0.9375,                0.97352,                0.50547,                 1.6298,                0.75774,                 1.3281,               0.004654,               0.004654,               0.004654
                     56,                 1.2828,                0.75741,                 1.1324,                0.95125,                0.90625,                0.94889,                0.50774,                 1.6075,                0.75822,                 1.3157,               0.004555,               0.004555,               0.004555
                     57,                 1.2871,                0.74374,                 1.1367,                0.95942,                0.90625,                0.93551,                0.49083,                 1.6472,                0.77417,                 1.3616,               0.004456,               0.004456,               0.004456
                     58,                 1.2714,                 0.7133,                 1.1082,                0.96156,                0.95312,                 0.9589,                 0.4907,                 1.6599,                0.76281,                 1.3701,               0.004357,               0.004357,               0.004357
                     59,                 1.2599,                0.71253,                 1.1235,                0.94883,                0.95312,                0.96138,                0.49599,                 1.6271,                 0.7469,                  1.354,               0.004258,               0.004258,               0.004258
                     60,                 1.2583,                0.70763,                 1.1004,                0.94653,                 0.9375,                0.94997,                0.47654,                 1.6507,                0.75559,                 1.3584,               0.004159,               0.004159,               0.004159
                     61,                 1.2447,                0.70955,                 1.0885,                 0.9584,                0.95312,                0.95627,                0.49965,                 1.6405,                0.75049,                 1.3512,                0.00406,                0.00406,                0.00406
                     62,                 1.2694,                0.73283,                 1.1269,                0.95364,                0.96438,                0.95386,                0.49297,                 1.6335,                0.74027,                  1.353,               0.003961,               0.003961,               0.003961
                     63,                 1.2421,                0.71768,                 1.0835,                0.95427,                0.97815,                0.95771,                0.48527,                 1.6728,                0.74331,                 1.3771,               0.003862,               0.003862,               0.003862
                     64,                 1.2547,                0.70957,                 1.1063,                0.95467,                0.95312,                0.95235,                0.48203,                 1.6731,                0.75996,                 1.3745,               0.003763,               0.003763,               0.003763
                     65,                 1.2416,                0.69747,                  1.127,                0.96793,                0.95312,                0.95893,                0.49001,                  1.691,                0.73218,                 1.4142,               0.003664,               0.003664,               0.003664
                     66,                  1.228,                0.69318,                 1.1035,                0.96161,                0.95312,                0.95787,                0.47252,                 1.7051,                0.74863,                 1.4064,               0.003565,               0.003565,               0.003565
                     67,                 1.2308,                0.71194,                 1.1164,                0.96873,                0.96817,                0.95744,                0.47984,                 1.6706,                0.71275,                 1.3948,               0.003466,               0.003466,               0.003466
                     68,                 1.2001,                0.69597,                 1.0904,                0.95272,                0.95312,                0.94103,                0.49769,                 1.6603,                0.70512,                 1.3826,               0.003367,               0.003367,               0.003367
                     69,                 1.1875,                0.69705,                 1.0978,                0.96482,                0.96875,                 0.9568,                 0.5061,                 1.6291,                0.70284,                 1.3491,               0.003268,               0.003268,               0.003268
                     70,                 1.2184,                0.68689,                 1.0886,                0.95163,                0.95312,                 0.9361,                0.49835,                 1.6687,                0.71837,                 1.3634,               0.003169,               0.003169,               0.003169
                     71,                 1.1925,                0.67298,                 1.0824,                0.96642,                0.96875,                0.97446,                0.49871,                 1.6011,                0.69898,                 1.3423,                0.00307,                0.00307,                0.00307
                     72,                 1.1449,                0.66068,                 1.0641,                0.96641,                0.96875,                0.97677,                0.49299,                 1.6195,                 0.6968,                 1.3488,               0.002971,               0.002971,               0.002971
                     73,                 1.1668,                0.65729,                 1.0725,                0.96598,                0.96875,                0.97996,                 0.5042,                 1.5904,                0.67877,                 1.3357,               0.002872,               0.002872,               0.002872
                     74,                 1.1583,                0.66201,                 1.0698,                0.95221,                0.96875,                0.98454,                0.50522,                 1.6278,                0.66807,                 1.3644,               0.002773,               0.002773,               0.002773
                     75,                 1.1901,                0.66336,                 1.0836,                0.96499,                0.96875,                0.98378,                0.49741,                 1.6591,                0.68309,                 1.3763,               0.002674,               0.002674,               0.002674
                     76,                 1.1472,                0.63844,                 1.0481,                0.96457,                0.96875,                 0.9805,                 0.4997,                 1.6539,                0.68974,                 1.3691,               0.002575,               0.002575,               0.002575
                     77,                 1.1549,                0.64064,                 1.0589,                0.94838,                0.95312,                0.96645,                0.48203,                 1.6832,                0.69284,                 1.3882,               0.002476,               0.002476,               0.002476
                     78,                 1.1456,                0.64174,                 1.0707,                0.93188,                0.95312,                0.92725,                0.48133,                 1.6936,                0.69071,                 1.4001,               0.002377,               0.002377,               0.002377
                     79,                 1.1772,                0.66844,                 1.0865,                0.95365,                0.96452,                0.96362,                0.48222,                 1.6964,                0.68915,                 1.4001,               0.002278,               0.002278,               0.002278
                     80,                  1.102,                0.62723,                 1.0508,                0.95371,                0.96573,                0.96096,                0.47996,                 1.6917,                 0.6905,                 1.4072,               0.002179,               0.002179,               0.002179
                     81,                 1.1494,                0.65899,                 1.0696,                0.93831,                0.96875,                 0.9604,                0.48757,                 1.6601,                0.68947,                 1.4074,                0.00208,                0.00208,                0.00208
                     82,                 1.1305,                0.64261,                 1.0625,                0.93873,                0.96875,                0.95044,                0.47202,                 1.6561,                0.69301,                 1.4144,               0.001981,               0.001981,               0.001981
                     83,                 1.1424,                0.63971,                 1.0632,                0.96425,                0.98438,                0.97602,                0.47605,                 1.6383,                0.68786,                 1.3973,               0.001882,               0.001882,               0.001882
                     84,                 1.0783,                0.60218,                 1.0324,                0.96314,                0.98438,                0.98054,                0.47519,                 1.6256,                0.69053,                 1.3925,               0.001783,               0.001783,               0.001783
                     85,                   1.12,                0.61512,                 1.0375,                0.94666,                0.95312,                0.96818,                 0.4855,                 1.6273,                0.69139,                 1.3899,               0.001684,               0.001684,               0.001684
                     86,                 1.0825,                0.63556,                 1.0481,                0.96948,                0.99282,                0.99039,                0.49353,                 1.6071,                0.67184,                 1.3841,               0.001585,               0.001585,               0.001585
                     87,                  1.073,                 0.6067,                 1.0496,                0.95162,                      1,                0.99121,                 0.4961,                 1.6098,                0.66312,                 1.3833,               0.001486,               0.001486,               0.001486
                     88,                 1.1174,                0.62228,                 1.0432,                0.96954,                0.99489,                0.99089,                0.50786,                 1.6093,                0.66011,                 1.3746,               0.001387,               0.001387,               0.001387
